State,Name,Population,White,Black,American Indian,Asian,Pacific Islands,Two or More,Hispanic,Poverty Rate,Per Capita Income
01,Alabama,4799277.0,3326188.0,1262152.0,25278.0,56831.0,1387.0,72145.0,188294.0,18.140878303127742,23680.0
02,Alaska,720316.0,481638.0,25033.0,101273.0,39200.0,8013.0,56757.0,42832.0,9.650486730823694,32651.0
04,Arizona,6479703.0,5131739.0,270027.0,286953.0,182953.0,12607.0,191265.0,1935948.0,17.46840866008828,25358.0
05,Arkansas,2933369.0,2295446.0,454903.0,17945.0,37776.0,5697.0,58307.0,192264.0,18.658682218295755,22170.0
06,California,37659181.0,23467167.0,2255372.0,286397.0,5005635.0,146290.0,1627359.0,14270345.0,15.628106729139967,29527.0
08,Colorado,5119329.0,4301096.0,203755.0,49177.0,141719.0,6549.0,175035.0,1064009.0,12.909387148198524,31109.0
09,Connecticut,3583561.0,2792554.0,361668.0,8770.0,141709.0,1304.0,94111.0,496939.0,9.888153152688066,37892.0
10,Delaware,908446.0,635474.0,194964.0,3010.0,30422.0,567.0,23066.0,76107.0,11.40772263843971,29819.0
11,District of Columbia,619371.0,248141.0,310530.0,1990.0,21845.0,233.0,14467.0,59479.0,17.630789946574833,45290.0
12,Florida,19091156.0,14568521.0,3056152.0,58390.0,475905.0,11258.0,430455.0,4369920.0,15.990686996638653,26236.0
13,Georgia,9810417.0,5948977.0,3010984.0,24496.0,330392.0,4554.0,193170.0,875849.0,17.702407553114206,25182.0
15,Hawaii,1376298.0,344488.0,24532.0,3050.0,526743.0,134733.0,327334.0,128171.0,10.864725517293493,29305.0
16,Idaho,1583364.0,1455692.0,8957.0,19984.0,20141.0,2216.0,39459.0,180901.0,15.176421846145296,22568.0
17,Illinois,12848554.0,9320910.0,1851524.0,27548.0,609923.0,2979.0,265702.0,2060706.0,13.79402693875124,29666.0
18,Indiana,6514861.0,5510618.0,592954.0,14975.0,107563.0,1852.0,136702.0,400788.0,14.887209412449476,24635.0
19,Iowa,3062553.0,2802839.0,91754.0,9440.0,55878.0,1389.0,58229.0,157711.0,11.996984215456843,27027.0
20,Kansas,2868107.0,2449273.0,164299.0,23958.0,70408.0,1887.0,92475.0,308122.0,13.34747971397162,26929.0
21,Kentucky,4361333.0,3835013.0,341576.0,8811.0,51411.0,2019.0,80523.0,136340.0,18.255932303265997,23462.0
22,Louisiana,4567968.0,2874235.0,1463345.0,28466.0,73460.0,2141.0,75179.0,202145.0,18.53734527036967,24442.0
23,Maine,1328320.0,1264047.0,14637.0,7364.0,14391.0,246.0,24073.0,17946.0,13.221512888460612,26824.0
24,Maryland,5834299.0,3406243.0,1717582.0,17535.0,332620.0,2570.0,162105.0,493310.0,9.569770078633269,36354.0
25,Massachusetts,6605058.0,5318548.0,454887.0,12956.0,368178.0,1876.0,180738.0,655863.0,10.981750652303129,35763.0
26,Michigan,9886095.0,7841011.0,1385154.0,54881.0,251175.0,2230.0,243968.0,447594.0,16.44716139183368,25681.0
27,Minnesota,5347740.0,4575991.0,279944.0,57479.0,222761.0,2259.0,132033.0,257144.0,11.189605328606103,30913.0
28,Mississippi,2976872.0,1769766.0,1106982.0,13030.0,27646.0,274.0,34508.0,81433.0,21.946560013329428,20618.0
29,Missouri,6007182.0,4984653.0,691128.0,22781.0,98962.0,6263.0,139240.0,219705.0,14.997531288381142,25649.0
30,Montana,998554.0,893032.0,4038.0,64426.0,6246.0,676.0,24295.0,30490.0,14.874308249729108,25373.0
31,Nebraska,1841625.0,1624312.0,84228.0,16408.0,34144.0,1254.0,39933.0,173903.0,12.423213194868662,26899.0
32,Nevada,2730066.0,1948808.0,224424.0,29446.0,202157.0,16841.0,108275.0,734097.0,14.773049442760724,26589.0
33,New Hampshire,1319171.0,1240404.0,16011.0,2588.0,29337.0,214.0,21829.0,38817.0,8.403686860914924,33134.0
34,New Jersey,8832406.0,6108784.0,1197753.0,20482.0,756668.0,2610.0,217263.0,1603510.0,10.196349669614373,36027.0
35,New Mexico,2069706.0,1511087.0,42196.0,189953.0,28034.0,1477.0,63618.0,966268.0,19.99322609104868,23763.0
36,New York,19487053.0,12779326.0,3042152.0,72740.0,1479326.0,7365.0,510429.0,3488083.0,14.902109621193107,32382.0
37,North Carolina,9651380.0,6727690.0,2068726.0,111733.0,221392.0,5390.0,218935.0,824868.0,17.027502802708007,25284.0
38,North Dakota,689781.0,618098.0,9273.0,36659.0,7362.0,332.0,13526.0,16054.0,11.515683963460866,29732.0
39,Ohio,11549590.0,9569431.0,1402897.0,20709.0,201394.0,2402.0,259004.0,367394.0,15.358579828374861,26046.0
40,Oklahoma,3785742.0,2783609.0,273421.0,266509.0,68161.0,4283.0,293976.0,345139.0,16.34245017225157,24208.0
41,Oregon,3868721.0,3297149.0,70328.0,47411.0,147986.0,14993.0,145854.0,461901.0,15.890988262012174,26809.0
42,Pennsylvania,12731381.0,10467433.0,1385799.0,20258.0,363967.0,3510.0,243574.0,753701.0,12.872287774594131,28502.0
44,Rhode Island,1051695.0,855594.0,66569.0,4616.0,32384.0,383.0,27547.0,135317.0,13.04979105158815,30469.0
45,South Carolina,4679602.0,3144146.0,1298534.0,14732.0,61097.0,2128.0,84835.0,241448.0,17.529439469424965,23943.0
46,South Dakota,825198.0,706667.0,11531.0,71766.0,8597.0,226.0,19197.0,24598.0,13.582921916921757,25740.0
47,Tennessee,6402387.0,5007014.0,1073534.0,16604.0,95801.0,3110.0,113243.0,300159.0,17.208144399893353,24409.0
48,Texas,25639373.0,19075100.0,3030970.0,129219.0,1019260.0,20974.0,590326.0,9717727.0,17.226743415293345,26019.0
49,Utah,2813673.0,2487467.0,31101.0,31696.0,58150.0,26145.0,66319.0,368552.0,12.446542295426655,23873.0
50,Vermont,625904.0,595862.0,6139.0,1841.0,7922.0,145.0,12251.0,9803.0,11.323301976021883,29167.0
51,Virginia,8100653.0,5627076.0,1568021.0,24816.0,457792.0,5633.0,237866.0,659599.0,10.957079632962923,33493.0
53,Washington,6819579.0,5350938.0,245041.0,94194.0,498941.0,40695.0,324471.0,783693.0,13.09774401029741,30742.0
54,West Virginia,1853619.0,1737996.0,58489.0,2955.0,12806.0,666.0,35968.0,23285.0,17.346930518083813,22966.0
55,Wisconsin,5706871.0,4966900.0,355873.0,49343.0,132609.0,1305.0,115553.0,345866.0,12.68173049644893,27523.0
56,Wyoming,570134.0,518388.0,5167.0,13268.0,4782.0,197.0,15841.0,52454.0,11.18035409219587,28902.0
72,Puerto Rico,3682966.0,2575834.0,284860.0,10471.0,12120.0,61.0,434256.0,3643237.0,44.641411297307656,11068.0
